ID,rating,review,product,price,ttr,words_per_t_unit,words_per_clauses,flesch_reading_ease,l2sca_W,l2sca_S,l2sca_VP,l2sca_C,l2sca_T,l2sca_DC,l2sca_CT,l2sca_CP,l2sca_CN,l2sca_MLS,l2sca_MLT,l2sca_MLC,l2sca_C/S,l2sca_VP/T,l2sca_C/T,l2sca_DC/C,l2sca_DC/T,l2sca_T/S,l2sca_CT/T,l2sca_CP/T,l2sca_CP/C,l2sca_CN/T,l2sca_CN/C,lca_wordtypes,lca_swordtypes,lca_lextypes,lca_slextypes,lca_wordtokens,lca_swordtokens,lca_lextokens,lca_slextokens,lca_ld,lca_ls1,lca_ls2,lca_vs1,lca_vs2,lca_cvs1,lca_ndw,lca_ndwz,lca_ndwerz,lca_ndwesz,lca_ttr,lca_msttr,lca_cttr,lca_rttr,lca_logttr,lca_uber,lca_lv,lca_vv1,lca_svv1,lca_cvv1,lca_vv2,lca_nv,lca_adjv,lca_advv,lca_modv
B014UK7USU,5.0,if you want the best coffee try chock full o nuts threestar review pretty much says it all i have scoured the entire internet i have visited every blog and every coffee connisseurs website and collectively the marley expresso ranks at the very top at first i said those coffee snobs dont have my kind of taste  and then i decided to dish out  for an  oz bag of marley expresso at sprouts market i can tell you it is coffee nirvana it is altogether bold smooth and lively  unlike anything else out there i have this strange sense that all the lesser coffee producers hired people to smear this coffee which has no equal,marley coffee organic lively up espresso ground coffee  ounce,6.92,0.7043478260869566,inf,8.214285714285714,-28.34,115,1,16,14,0,8,0,3,15,115.0,0.0,8.2143,14.0,0.0,0.0,0.5714,0.0,0.0,0.0,0.0,0.2143,0.0,1.0714,58,25,52,24,76,27,65,26,0.86,0.4,0.43,0.47,3.27,1.28,58,40,39.5,39.1,0.76,0.8,4.7,6.65,0.94,30.14,0.8,0.93,13.07,2.56,0.22,0.68,0.22,0.08,0.29
B00IO973QS,5.0,i have used tide free and gentle for years and i love it  i have very sensitive skin in a very sensitive area if you know what i mean and this works great  however we have just had to have our septic tank pumped because of a blockage  the people who pumped our tank specifically asked if we used tide liquid laundry detergent and we had not mentioned it  they said to avoid it from now on at all cost because it clumps up in septic tanks  now i am stuck looking for another detergent for my sensitive skin  can anyone tell me what is the best kind to try  its just me and my husband and i dont have a lot of heavily soiled clothing or anything  i just have to avoid perfumes and dyes  i have researched several other kinds with mixed results  i would appreciate suggestions  thanks,tide free and gentle high efficiency liquid laundry detergent  oz  loads packaging may vary,8.99,0.6266666666666667,150.0,7.5,-63.86,150,1,25,20,1,9,1,5,17,150.0,150.0,7.5,20.0,25.0,20.0,0.45,9.0,1.0,1.0,5.0,0.25,17.0,0.85,61,21,53,19,94,29,75,26,0.8,0.35,0.34,0.19,0.76,0.62,61,36,37.1,37.2,0.65,0.72,4.45,6.29,0.9,20.73,0.71,0.81,13.76,2.62,0.23,0.73,0.19,0.03,0.21
B00Z8FVTG6,5.0,ive used this same mascara for years and every time i try another fancy mascara with all kinds of promises i always end up back at great lash no other mascara gives me the thick long lashes i expect from a mascara and its some of the most affordable mascara there is what more can you ask for,maybelline great lash washable mascara brownish black  fl oz,4.49,0.8275862068965517,inf,11.6,37.99,58,1,6,5,0,1,0,2,9,58.0,0.0,11.6,5.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.4,0.0,1.8,27,5,22,5,34,10,29,10,0.85,0.34,0.19,0.0,0.0,0.0,27,27,27.0,27.0,0.79,0.79,3.27,4.63,0.93,23.43,0.76,0.88,6.12,1.75,0.24,0.67,0.28,0.03,0.31
B0014JV2RG,1.0,i have been a huge fan of this brand especially the cola drink for a long time  ive recommended it to a number of friends looking to ditch their diet coke habits  unfortunately this new clear version tastes nothing like the original zevia cola  its awful  i guess they couldnt replicate the flavor closely enough without the caramel coloring  im looking for something new,zevia natural sugar free soda cola  count  fl oz each,4.99,0.796875,64.0,16.0,14.98,64,1,5,4,1,3,1,0,12,64.0,64.0,16.0,4.0,5.0,4.0,0.75,3.0,1.0,1.0,0.0,0.0,12.0,3.0,39,17,36,17,43,18,40,18,0.93,0.45,0.44,0.5,2.0,1.0,39,39,39.0,39.0,0.91,0.91,4.21,5.95,0.97,62.92,0.9,0.88,6.12,1.75,0.17,0.95,0.23,0.07,0.3
B00NMPIWBY,5.0,frankly im amazed ive been suffering from impingement syndrome in my shoulder for about a year and this emu oil product provides relief when i need it    right where i need it  who knewrub a small amount on the painful area and ive got relief in a matter of minutes  i cant say that about ibuprofen pills or the menthol products ive triedyes this cream is blue or bluegreen  why  i have no idea but it doesnt leave blue stains on my clothing and it soaks in leaving nice soft skin in its wake  so blue is fine by meim really pleased with the results ive had with this unlikely product  try it on your painful joints to see if you get the same easy reliefhighly recommended,nfi consumer products blueemu emu oil aloe super strength  ounce,12.39,0.7244094488188977,42.333333333333336,9.071428571428571,-32.06,127,1,16,14,3,11,2,4,22,127.0,42.3333,9.0714,14.0,5.3333,4.6667,0.7857,3.6667,3.0,0.6667,1.3333,0.2857,7.3333,1.5714,61,24,58,24,78,28,71,28,0.91,0.39,0.39,0.33,1.67,0.91,61,40,41.9,40.6,0.78,0.8,4.88,6.91,0.94,33.53,0.82,0.93,13.07,2.56,0.2,0.87,0.25,0.03,0.28
B0014JV2RG,5.0,ive been drinking this soda for a couple of years now having eliminated regular diet soft drinks  i like that it is sweetened with stevia rather than artificially and that it tastes good  i love that i can still have soda and know that im drinking something that isnt bad for me,zevia natural sugar free soda cola  count  fl oz each,4.99,0.7884615384615384,52.0,10.4,35.62,52,1,6,5,1,4,1,1,5,52.0,52.0,10.4,5.0,6.0,5.0,0.8,4.0,1.0,1.0,1.0,0.2,5.0,1.0,27,10,23,10,33,11,27,11,0.82,0.41,0.37,0.38,1.12,0.75,27,27,27.0,27.0,0.82,0.82,3.32,4.7,0.94,26.46,0.85,1.0,8.0,2.0,0.3,0.8,0.26,0.07,0.33
B0013T5YO4,5.0,i first tried fiji water back in college when our cafeteria used to sell these at  a bottle for the mini size i always wondered what the difference between fiji and cheaper poland spring were however it all came down to taste for me fiji water tastes great it doesnt have that tap water taste and it goes down smoothly i drink fiji whenever i canback when amazon had it for around less than  for this pack i used to have these shipped every month under the subscribe and save ever since the price went up i stopped and lugged this  pack from the supermarket all the time it was significantly cheaper fast forward a year and now that my wife is pregnant i always have this size fiji water on hand at all time this is the only water she will drink even though the cost is significantly higher it is well worth it because i dont have to strain my back to lug  of these cases from the supermarket to my house with subscribe and save they get delivered right to my door and that is priceless i no longer have to drive  minutes there and  minutes back to get themas far as the size goes it is perfect i started with the mini ones but we would end up having more empty plastic bottles laying around the house then i switched to this size  bottles last the whole day and we would end up having less plastic  comparing ounce wise this is the cheapestpros amazing water taste wife loves it water never exposed to anything until i open the bottle free shipping for delivery to your door woo hoocons expensive when compared to local supermarketsif you are like me and dont have the time to drive out to the supermarket or simply care about your back amazon delivers,fiji natural artesian water  fl oz pack of ,24.49,0.5273311897106109,,,-227.28,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111,31,96,29,191,44,155,42,0.81,0.27,0.28,0.15,0.92,0.68,111,35,39.6,39.4,0.58,0.75,5.68,8.03,0.9,22.07,0.62,0.77,23.08,3.4,0.19,0.58,0.13,0.07,0.2
B0181V68HS,5.0,my kids love this i freeze the lemonade pouches and put them in their school lunch boxes they keep the rest of their lunch food coolcrisp and are nice and cold and defrosted by the time the kids get to them at lunchtime i appreciate that theres no artificial colors or chemicals in this product  its a relief to find a product that kids think is delicious and is not full of harmful additives highly recommended,honest kids berry berry good lemonade organic fruit juice drink  fl oz  pack,3.39,0.7236842105263158,76.0,12.666666666666666,11.26,76,1,10,6,1,5,1,5,11,76.0,76.0,12.6667,6.0,10.0,6.0,0.8333,5.0,1.0,1.0,5.0,0.8333,11.0,1.8333,36,13,34,13,43,13,39,13,0.91,0.33,0.36,0.4,1.6,0.89,36,36,36.0,36.0,0.84,0.84,3.88,5.49,0.95,34.58,0.87,1.0,10.0,2.24,0.26,0.77,0.15,0.03,0.18
B00L1Q93V4,4.0,i love these lotion tissues they are lightly lotioned so they dont leave your fingers and face oily but are softer on the skin than standard tissues the price here is not great though i purchased these in april  and the price for the  boxes was just over thirteen and a half dollars a good deal now it has jumped up to thirty these are often on sale at local nyc drug stores for just  to  cents a box so know what youre buyingthat said it is now january so one order has lasted my family of  for about  months,puffs plus lotion facial tissues  cubes  tissues per box,4.47,0.74,100.0,8.333333333333334,-4.65,100,1,13,12,1,7,1,4,16,100.0,100.0,8.3333,12.0,13.0,12.0,0.5833,7.0,1.0,1.0,4.0,0.3333,16.0,1.3333,49,13,41,13,63,14,46,14,0.73,0.3,0.27,0.18,0.36,0.43,49,41,40.9,40.8,0.78,0.82,4.37,6.17,0.94,29.66,0.89,1.0,11.0,2.35,0.24,0.82,0.2,0.07,0.26
B010S55JWK,3.0,like most low calorie products all i taste is the artificial sweetener in this wateri almost exclusively drink water throughout the day and was excited for a possible alternative to my tap water while its not the worst flavored water ive ever had i wont be buying this product any time sooni received nestle splash free for sampling purposes but all of my opinions are my own,nestle splash water beverages with natural fruit flavors mandarin orange  plastic bottles pack of ,1.99,0.8507462686567164,67.0,13.4,11.93,67,1,6,5,1,0,0,1,10,67.0,67.0,13.4,5.0,6.0,5.0,0.0,0.0,1.0,0.0,1.0,0.2,10.0,2.0,37,13,32,13,44,13,36,13,0.82,0.36,0.35,0.17,0.17,0.29,37,37,37.0,37.0,0.84,0.84,3.94,5.58,0.95,35.89,0.89,0.83,4.17,1.44,0.14,0.8,0.36,0.06,0.42
B012W39R9M,3.0,while the chips are great their ingredients list is deceptive note the wording for the oil though the first oil listed canola is expeller pressed theexpeller pressed only applies as worded to the canola oil thats how english grammer works if they wanted expeller pressed to apply to all the oils at least according to the fda it must be specified for each oil separately which is not done and the product may not actually contain any canola oil since expeller pressed oils are more expensive than chemically processed oils which comprise that vast bulk of oils sold in the us the consumer has to assume that the sunflower and safflower oil are chemically processed and since chemically processed sunflower oil is the cheapest among the three thats probably what is used and comprises the bulk of the oil usedi would love for garden of eatin to respond but am guessing they wont they know what they meant to do deceive those customers that are buying these chips because of the expeller pressed canola oilwhich probably makes up a tiny porition of the oil used if any,garden of eatin blue corn tortilla chips  oz,2.68,0.5721925133689839,186.0,8.857142857142858,-101.42,186,1,26,21,1,19,0,3,22,186.0,186.0,8.8571,21.0,26.0,21.0,0.9048,19.0,1.0,0.0,3.0,0.1429,22.0,1.0476,67,27,60,27,113,40,93,39,0.82,0.42,0.4,0.21,1.48,0.86,67,34,35.7,32.8,0.59,0.67,4.46,6.3,0.89,18.57,0.65,0.73,17.45,2.95,0.26,0.55,0.13,0.04,0.17
B016F7GIOI,5.0,reordered these i read a great deal of reviews before i got these and most said they were awful but i went ahead and got them anyway to see for myself because everyones taste buds can be different glad i ordered them because my tastebud love these noodles i really enjoy them i love the idea of sprinkling the choppedup peanuts over them but they didnt give enough in each pack so i bought my own peanuts and crushed them up to sprinkle on top and they taste rather divine darling p,simply asia spicy kung pao noodle bowl  oz,2.48,0.7065217391304348,92.0,7.076923076923077,3.48,92,1,17,13,1,6,1,3,9,92.0,92.0,7.0769,13.0,17.0,13.0,0.4615,6.0,1.0,1.0,3.0,0.2308,9.0,0.6923,45,15,38,15,55,16,47,16,0.85,0.34,0.33,0.3,1.8,0.95,45,41,40.9,40.8,0.82,0.82,4.29,6.07,0.95,34.75,0.81,0.85,14.45,2.69,0.36,0.88,0.19,0.02,0.21
B003SIXGCU,5.0,this dish soap has a lovely smell when you get up close to smell it i feel like switching it to my bathroom soap instead of the cheap crap i currently have in my bathroomas i said the scent is very nice yummy sweet but not overbearing what so ever doesnt irritate or over dry my hands when i wash dishes seems to be working as a soap should isnt overly harsh on anything i also use it in combination with vinegar to clean my floors would purchase again it smells so good,palmolive ultra liquid dish soap original   fluid ounce,3.23,0.7741935483870968,93.0,8.454545454545455,2.46,93,1,16,11,1,6,1,2,6,93.0,93.0,8.4545,11.0,16.0,11.0,0.5455,6.0,1.0,1.0,2.0,0.1818,6.0,0.5455,48,15,39,15,60,18,48,18,0.8,0.38,0.31,0.14,0.29,0.38,48,40,41.1,42.9,0.8,0.8,4.38,6.2,0.95,32.63,0.81,0.93,12.07,2.46,0.27,0.76,0.17,0.1,0.27
B00NWMHG9G,5.0,kettle brand chips are probably the best potato chips ive tasted thus far they are thick has a bite to them and i love their creative flavors my favorite kettle chip happens to be the honey dijon i think its a great combination sweet salty and tangy perfect for one of those snack attacks when you dont know exactly what you want i especially love the curled up chips for extra texture and crunch these  bags are perfect for anyone who has a problem controlling portions like me,kettle brand potato chips honey dijon  ounce bags  count,2.98,0.7727272727272727,88.0,7.333333333333333,-0.93,88,1,13,12,1,9,1,2,15,88.0,88.0,7.3333,12.0,13.0,12.0,0.75,9.0,1.0,1.0,2.0,0.1667,15.0,1.25,46,20,41,20,58,24,49,24,0.84,0.49,0.43,0.25,0.75,0.61,46,41,40.6,41.3,0.79,0.82,4.27,6.04,0.94,30.89,0.84,0.92,10.08,2.25,0.22,0.87,0.2,0.06,0.27
B0014CSG5Y,2.0,this is mcdonalds level hot sauce now i see why this is so popular this is a very mild ketchuppickle tastingsmelling hot sauce i had this before at a asian restaurant a year ago back then i didnt think much of it but the past year ive been eating a lot of food with various hot sauce and this stuff is mild with very little taste thats their secret its consumer friendly hot sauce cheap and you get a lot of it ill stick to my habanero and scorpion pepper hot sauce which isnt that hot either believe it or not so maybe you guys should step it up past mcdonalds level ketchup too this is trash mediocre taste and heat but in a big cheap bottle thats why its popular,huy fong hot chili sauce sriracha  oz,2.99,0.6183206106870229,131.0,10.076923076923077,-27.66,131,1,15,13,1,6,1,3,23,131.0,131.0,10.0769,13.0,15.0,13.0,0.4615,6.0,1.0,1.0,3.0,0.2308,23.0,1.7692,59,18,48,17,87,25,70,24,0.8,0.34,0.31,0.31,1.23,0.78,59,37,38.3,39.4,0.68,0.74,4.47,6.33,0.91,22.3,0.69,0.92,11.08,2.35,0.17,0.7,0.2,0.06,0.26
B000WHXMYW,1.0,i was about to order it on amazon when i figured next time i go shopping at my local store they sell the same bottle for  now this is in nyc in an overpriced grocery store i avoid at allcost think a place that would go so far to label the water organicwhat happened to going to amazon and knowing you always got the lowest prices,heinz tomato ketchup  oz value size bottle,4.69,0.803030303030303,66.0,7.333333333333333,29.87,66,1,14,9,1,8,1,1,12,66.0,66.0,7.3333,9.0,14.0,9.0,0.8889,8.0,1.0,1.0,1.0,0.1111,12.0,1.3333,33,7,27,6,41,8,34,7,0.83,0.21,0.21,0.17,0.33,0.41,33,33,33.0,33.0,0.8,0.8,3.64,5.15,0.94,27.59,0.79,0.83,8.33,2.04,0.29,0.75,0.15,0.03,0.18
B01GCO05QQ,4.0,this is the perfect size cake for two people it comes up with the baking pan duncan hines makes a good cake mix and this mix is up to its standardsi am so glad that manufacturers are finally making mixes that feed one or two people i wish more products were sized this way,duncan hines perfect size cake mix red velvet dream  ounce,6.5,0.8148148148148148,54.0,7.714285714285714,42.05,54,1,8,7,1,6,1,2,9,54.0,54.0,7.7143,7.0,8.0,7.0,0.8571,6.0,1.0,1.0,2.0,0.2857,9.0,1.2857,25,8,22,8,36,9,28,9,0.78,0.32,0.32,0.12,0.12,0.25,25,25,25.0,25.0,0.69,0.69,2.95,4.17,0.9,15.29,0.79,0.88,6.12,1.75,0.25,0.69,0.21,0.04,0.25
B00OFVLPD6,5.0,i have never had this even after buying it this one time i never had it the kids must have eaten it all plus kept it a secret from me so that i wouldnt discover it thus taking some of it from them so im giving it five stars since its gone and theyre mum,ferrero nutella hazelnut spread  oz jar,4.99,0.7454545454545455,55.0,11.0,49.49,55,1,9,5,1,4,1,2,7,55.0,55.0,11.0,5.0,9.0,5.0,0.8,4.0,1.0,1.0,2.0,0.4,7.0,1.4,20,3,16,3,26,3,18,3,0.69,0.17,0.15,0.14,0.14,0.27,20,20,20.0,20.0,0.77,0.77,2.77,3.92,0.92,17.57,0.89,1.0,7.0,1.87,0.39,0.71,0.17,0.06,0.22
B00WS2QQME,4.0,i like this product and will probably buy it again  i havent noticed weight loss that much but it does seem to satisfy morning cravings a bit  i do add a dolop of peanut butter or yougurt to have a little more fuller feeling so i dont get so hungry so quick,garden of life organic vegan protein powder with vitamins and probiotics  raw organic plant based protein shake chocolate   lb  oz   powder,27.99,0.8269230769230769,52.0,10.4,44.08,52,1,7,5,1,4,1,3,5,52.0,52.0,10.4,5.0,7.0,5.0,0.8,4.0,1.0,1.0,3.0,0.6,5.0,1.0,31,10,27,10,36,10,31,10,0.86,0.32,0.32,0.22,0.44,0.47,31,31,31.0,31.0,0.86,0.86,3.65,5.17,0.96,37.3,0.87,0.89,7.11,1.89,0.26,1.0,0.23,0.0,0.23
B012H5RIEG,5.0,my husband has been using these for years we have started to order them online because it is hard to find them in stores they help him to relax and he takes them before bed every night he feels that this is the only thing that helps him without giving him  medicine head,hylands calms forte sleep aid tablets natural relief of nervous tension and occasional sleeplessness  quick dissolving tablets,6.29,0.8301886792452831,53.0,6.625,51.52,53,1,12,8,1,5,1,0,6,53.0,53.0,6.625,8.0,12.0,8.0,0.625,5.0,1.0,1.0,0.0,0.0,6.0,0.75,22,3,20,3,26,3,21,3,0.81,0.14,0.14,0.2,0.4,0.45,22,22,22.0,22.0,0.85,0.85,3.05,4.31,0.95,27.6,0.95,0.9,8.1,2.01,0.43,1.0,0.14,0.0,0.14
B0014CTFOK,1.0,zero stars this test is a waste of good possibly pregnant urine i was so excited to pay nearly  for this thing and wait for the next morning to take the test i did that after fumbling through the impossible packaging i did my thing like the insert shows and waited for three minutes not even a control line appeared nothing im so upset that i chose this crap over my trusted clear blue easy cbe was right and clear the first time i used it i will not recommend first response products to anyone nor will i ever buy them again hell even the  single tests at walmart gave me a better result there was a distinct control line dont waste your money,first response early result pregnancy test  count packaging amp test design may vary,8.98,0.6935483870967742,124.0,9.538461538461538,-29.01,124,1,16,13,1,12,1,4,17,124.0,124.0,9.5385,13.0,16.0,13.0,0.9231,12.0,1.0,1.0,4.0,0.3077,17.0,1.3077,60,14,55,14,82,14,72,14,0.88,0.19,0.23,0.06,0.06,0.17,60,40,39.8,40.6,0.73,0.8,4.69,6.63,0.93,27.0,0.76,0.82,11.53,2.4,0.19,0.75,0.19,0.04,0.24
