ID,rating,review,product,price,ttr,words_per_t_unit,words_per_clauses,flesch_reading_ease,l2sca_W,l2sca_S,l2sca_VP,l2sca_C,l2sca_T,l2sca_DC,l2sca_CT,l2sca_CP,l2sca_CN,l2sca_MLS,l2sca_MLT,l2sca_MLC,l2sca_C/S,l2sca_VP/T,l2sca_C/T,l2sca_DC/C,l2sca_DC/T,l2sca_T/S,l2sca_CT/T,l2sca_CP/T,l2sca_CP/C,l2sca_CN/T,l2sca_CN/C,lca_wordtypes,lca_swordtypes,lca_lextypes,lca_slextypes,lca_wordtokens,lca_swordtokens,lca_lextokens,lca_slextokens,lca_ld,lca_ls1,lca_ls2,lca_vs1,lca_vs2,lca_cvs1,lca_ndw,lca_ndwz,lca_ndwerz,lca_ndwesz,lca_ttr,lca_msttr,lca_cttr,lca_rttr,lca_logttr,lca_uber,lca_lv,lca_vv1,lca_svv1,lca_cvv1,lca_vv2,lca_nv,lca_adjv,lca_advv,lca_modv
B01617VQJ4,3.0,good program now with the extra forms back in but way too slow to accomodate  displays ive used turbotax for over a decade good software but very nonresponsive to new technology or to complaints for years the program would not install without a specific set of truetype fonts on a users system they ignored repeated requests to fix for yearsnow they and this applies to quicken which they also make have a forum full of complaints about unreadable help and other boxes because the programs were not tested on  displays be prepared to break out the magnifying glasses if your main pc has a  display and yes they know all about it and other vendors have fixed this it is not a  or os problem its a lack of response probably because so few  displays are extant,intuit turbotax premier  federal  state taxes  fed efile tax preparation software  pcmacdisc old version,34.96,0.708029197080292,68.5,13.7,-50.67,137,1,16,10,2,5,2,3,22,137.0,68.5,13.7,10.0,8.0,5.0,0.5,2.5,2.0,1.0,1.5,0.3,11.0,2.2,66,18,57,18,82,20,66,20,0.8,0.3,0.27,0.33,1.67,0.91,66,46,42.9,43.1,0.8,0.92,5.15,7.29,0.95,38.85,0.86,0.93,13.07,2.56,0.21,0.82,0.21,0.03,0.24
B00006CFAX,5.0,microsoft publisher has always been one of my favorite programs  although with upgrades it is now left out of some office suites it deserves to be there alongside word excel and powerpoint as it is one of the best programs microsoft has come up withprinting brochurescards newsletters etc as well as importing clip art into documents is simple enough for the novice user sophisticated enough for any home office or small businesseverything is straight forward and if you have ever used any of the office suite products then this just follows the norm so you wont be spending any time reading the instructions  you can start creating as soon as youve loaded the program onto your system,microsoft publisher  old version,109.0,0.7350427350427351,117.0,9.75,-38.83,117,1,15,12,1,8,1,2,11,117.0,117.0,9.75,12.0,15.0,12.0,0.6667,8.0,1.0,1.0,2.0,0.1667,11.0,0.9167,61,20,49,20,75,20,53,20,0.71,0.38,0.33,0.27,1.07,0.73,61,41,42.6,42.0,0.81,0.82,4.98,7.04,0.95,39.18,0.92,1.0,15.0,2.74,0.28,0.85,0.15,0.08,0.23
B003SX16CM,1.0,my tom tom came with both usa and europe maps installed  i purchased this upgrade  and it came only for us but have never been able to down load it  i have tried corresponding with the company and feel like i only get a run around from them cannot say i would recommend  tom tom to any of my friends any more,tomtom lifetime map update online map code,99.95,0.7419354838709677,63.0,7.875,33.93,63,1,10,8,1,5,1,2,6,63.0,63.0,7.875,8.0,10.0,8.0,0.625,5.0,1.0,1.0,2.0,0.25,6.0,0.75,28,6,23,6,37,9,30,9,0.81,0.3,0.21,0.18,0.36,0.43,28,28,28.0,28.0,0.76,0.76,3.25,4.6,0.92,20.32,0.77,0.91,9.09,2.13,0.33,0.69,0.13,0.03,0.17
B00AM9YXTS,4.0,i was originally hoping to avoid windows  but the crash of my old laptop and purchase of a new one necessitated getting involved with the operating system  the good news is that this is no clunker or resource hog like windows vista  granted the design geniuses read idiots who stripped out the start button should all have their heads examined and their credentials revoked while the opening panels might work well on a smart phone or tablet its completely counterintuitive on a laptop or desktop  yet the problem was easily remediable with the  startdoc utility which reinstalls a start button and is slated to be fixed when windows  rolls out at the end of  that said the rest of the operating system seems to work very much like windows  with minor tweaks mostly involving some ribbon interfaces  married to a solid state drive and an  processor this operating system boots up and shuts down in no time which is very welcome news,microsoft windows   upgrade old version,136.03,0.6728395061728395,54.0,12.461538461538462,-84.5,162,1,18,13,3,11,3,7,24,162.0,54.0,12.4615,13.0,6.0,4.3333,0.8462,3.6667,3.0,1.0,2.3333,0.5385,8.0,1.8462,78,34,70,32,99,38,84,36,0.85,0.43,0.44,0.43,4.35,1.47,78,46,43.9,44.5,0.79,0.92,5.54,7.84,0.95,38.46,0.83,0.91,19.17,3.1,0.25,0.77,0.14,0.06,0.2
B00577RPHM,5.0,i chose fluenz over rosetta stone after reading lots of reviews  i know that my own learning style is one where i need to understand the grammar why things are the way they are etc  it sounds like rosetta stone is much more learning by absorbingrote memorization whereas fluenz promised to teach you why x goes before y etc  overall fluenz has delivered on its promises and im very happy with the way im learning italian and the style of teachingin short fluenz combines an onscreen teacher who really humanizes the language and explains things very well with reading writing listening speaking and various matching games to get you to internalize all those different aspects of the language its well thought out and quite logically done  i would really recommend this to anyone who wants to get to grips with the way a language is put together and to build a solid foundation from which you can really understand italian  im only half way through but feel really great about what ive learned so farmy complaints are minor but i think worth noting repetitivenesspredictability  each individual lesson becomes a little bit repetitive in the sense that youre sayingtypinglistening to the same  or  sentences over and over again in each lesson  i see why theyre doing this but the problem is it gets to the point where you know whats coming before it actually comes on screen  all the sentences appear in the same order in each sentence so youre not thinkinglistening as much as remembering part of learning is being given variations you have to figure out for yourselves based on what you already know  this is kinda doing the opposite theres also not that much variation between lessons  i realize this is hard in a computer format but some games or some sort of variety would be appreciated matching pictures with words  this is really silly sometimes  they give you one word and four pictures and ask you to match the word to the correct picture  a good exercise  but sometimes the word actually appears in the picture though  for example how about finding a picture of a menu that doesnt contain the word menu in it there are quite a few of these where the thinking is done for youthe answer is given away sonias outfit  she always wears the same thing  does she not have a change of clothes   except for those very minor complaints this software is awesome very well thought out and very enjoyable to learn italian from,learn italian fluenz italian  for mac pc iphone ipad amp android phones version ,308.0,0.524822695035461,,,-349.42,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156,42,143,42,259,54,218,53,0.84,0.24,0.27,0.13,1.17,0.77,156,37,43.1,41.4,0.6,0.82,6.85,9.69,0.91,26.45,0.66,0.72,36.23,4.26,0.23,0.64,0.16,0.04,0.19
B00FFIO4AO,5.0,i use this every year and have done since before it was even available for windows  it was characterbased  i particularly like the way it keeps track of carryforward items and gives you an audit trail on such items  ive never had a problem using turbotax  on the contrary i think even the irs appreciates it when everything adds up and checks out,turbotax premier mac fed  efile  state  old version,89.99,0.7936507936507936,63.0,7.875,15.99,63,1,8,8,1,7,1,3,9,63.0,63.0,7.875,8.0,8.0,8.0,0.875,7.0,1.0,1.0,3.0,0.375,9.0,1.125,33,9,28,9,40,9,32,9,0.8,0.28,0.27,0.22,0.44,0.47,33,33,33.0,33.0,0.82,0.82,3.69,5.22,0.95,30.72,0.88,0.89,7.11,1.89,0.25,0.88,0.12,0.06,0.19
B001AMHWP8,4.0,i did have to buy more memory to install this it take  gb and i only had standard that came with my notebook  mb and i ordered memory so that i could install the program snow leopard has new features and better speed which makes the upgrade worth the effort sometimes upgrade really do not make any noticeable difference snow leopard  get it,mac os x version  snow leopard mac computer with an intel processor required,36.99,0.7619047619047619,63.0,7.875,24.45,63,1,12,8,1,5,1,2,9,63.0,63.0,7.875,8.0,12.0,8.0,0.625,5.0,1.0,1.0,2.0,0.25,9.0,1.125,31,8,28,8,43,12,37,11,0.86,0.3,0.26,0.15,0.31,0.39,31,31,31.0,31.0,0.72,0.72,3.34,4.73,0.91,18.78,0.76,0.77,7.69,1.96,0.27,0.75,0.14,0.05,0.19
B00E6LI5NI,4.0,i ordered this for a  family member its hard to download without a cd  its very hard to install and we still have not gotten the product i nstalled on his computer it keeps asking for his id when he already did all that entered the product code and still cant get the protection down  loaded  you pay for shipping and the package is light with no cd you should not have to pay shipping if no cd is in the package i am disappointed,mcafee antivirus plus   free upgrade to  after activation,10.99,0.6705882352941176,85.0,7.083333333333333,10.58,85,1,17,12,1,8,1,1,10,85.0,85.0,7.0833,12.0,17.0,12.0,0.6667,8.0,1.0,1.0,1.0,0.0833,10.0,0.8333,33,8,29,8,48,11,39,11,0.81,0.28,0.24,0.29,1.14,0.76,33,33,33.0,33.0,0.69,0.69,3.37,4.76,0.9,17.37,0.74,0.86,10.29,2.27,0.31,0.65,0.08,0.08,0.15
B000HCZ8EO,5.0,so pleased to find ms office  home  student available  it seems to be the last version actually available on install disks cd not as a webbased download  i just wish ms included games in this version but no  my vendor was accurate in description and promptly shipped  media was fine,microsoft office home and student  old version,149.99,0.88,inf,10.0,29.19,50,1,7,5,0,5,0,1,8,50.0,0.0,10.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.0,1.6,32,10,29,10,36,10,31,10,0.86,0.32,0.31,0.0,0.0,0.0,32,32,32.0,32.0,0.89,0.89,3.77,5.33,0.97,47.35,0.94,1.0,4.0,1.41,0.13,0.93,0.29,0.1,0.39
B002LLJ0W0,4.0,this program is exactly what the title says it is it gives a pretty good introduction to guitar playing most of the songs have an option to view a picture of the top of the fret board while someone else is playing the song what i dont like about this feature is that the fingers show up as simple dots and dont really show how a persons hand is supposed to move for the chord changes this program also gives the option to watch someone else play the song which sounds like a great idea but it really doesnt add much my biggest problem with guitars is that i cannot figure out what i am doing wrong in some sections i was really hopping that the feature where you get to watch someone else play would help me figure it out what i really learned is that wrong or right people look the same playing the guitar this program does not help you figure out problems if you started from a cold start not knowing anything as the title says for dummies then this might have worked better for me but im not sure i wouldnt have run into the same problems previous programs by emedia have allowed for the option of plugging in a midi device that allows the program to test and tell you based on what you are playing if you are doing something right i was really looking forward to being able to use that on this program however there is no such thing on this program i felt that was a draw back to other emedia programs and this product is made by emedia and for dummies so i felt that was disapointing the other problem with the program is that once you get past several lessons they get into real songs and instead of focusing on the guitar playing they have someone singing and its very distracting as a musician of many instruments brassstrings any musician practices again and again the parts they are having difficulty with and the goal is to play your part correctly the singing on a guitar playing tutorial program was very distracting the good parts of this program are that it does explain concepts very well the idea of the slash chord vs power chords are explained well and the exercises reflect the lessons they are teaching in each chapter i feel that this is a great alternative to taking a class filled with other people however im not convinced that its much more effective than a book and a music cd could have been  this program is focused on rockblues and does not touch at all on standard music notation or classical guitar in anyway once a lesson is done there are review screens that go back and quiz you or become reference screens for chords it is very easy to see this book as a sequence and really see how to have a great foundation for guitar playing, emedia guitar for dummies,29.99,0.4411177644710579,,,-411.67,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156,32,140,32,311,52,247,52,0.79,0.21,0.21,0.13,1.48,0.86,156,39,39.8,35.9,0.5,0.74,6.26,8.85,0.88,20.74,0.57,0.6,29.28,3.83,0.2,0.56,0.12,0.04,0.16
B000HCZ8EO,1.0,buy this version and you will suddenly decide never to give microsoft another dime as long as you live the perfect last straw to send you running out to buy a mac this version of word is a nightmare a colossal waste of time and money im officially done with the pc due to this final nightmare when you add up what you spent on the pc the tech guy to fix the routine viruswormbreakdowns of all kinds and the ridiculous software like this you could buy a mac and actually enjoy your computer and your lifei figured this out too late please folks think again,microsoft office home and student  old version,149.99,0.660377358490566,106.0,10.6,-10.74,106,1,16,10,1,7,1,4,15,106.0,106.0,10.6,10.0,16.0,10.0,0.7,7.0,1.0,1.0,4.0,0.4,15.0,1.5,53,17,46,17,60,20,52,20,0.87,0.38,0.32,0.07,0.07,0.18,53,44,44.7,45.2,0.88,0.88,4.84,6.84,0.97,58.69,0.88,0.87,11.27,2.37,0.25,0.83,0.17,0.08,0.25
B014Y44LSO,5.0,i began using this product years ago and now that i have children along with many other responsibilities this software makes life that much easier for someone who is not techsavvy anytime is extremely easy to use and does not require a high learning curve installation was cake i love the iphone syncing feature the most i can see this software benefitting both personal and business needs ive already recommended this to my sister and friend and they too now use it,individual software anytime organizer deluxe ,39.99,0.7804878048780488,82.0,8.2,-3.3,82,1,12,10,1,7,1,4,14,82.0,82.0,8.2,10.0,12.0,10.0,0.7,7.0,1.0,1.0,4.0,0.4,14.0,1.4,46,9,38,9,57,9,45,9,0.79,0.2,0.2,0.0,0.0,0.0,46,41,41.0,42.0,0.81,0.82,4.31,6.09,0.95,33.11,0.84,0.83,8.33,2.04,0.22,0.86,0.2,0.02,0.22
B00029LN6O,5.0,we actually have not tried this game yet but am sure it will make my grandson age  happy we asked if next time he comes over if he could play that one if it is anything like jump start kiddergarten i am sure he will be happy with it,reader rabbit personalized kindergarten  cds,15.95,0.7755102040816326,49.0,6.125,55.58,49,1,8,8,1,7,0,1,4,49.0,49.0,6.125,8.0,8.0,8.0,0.875,7.0,1.0,0.0,1.0,0.125,4.0,0.5,22,2,18,2,27,2,20,2,0.74,0.1,0.09,0.14,0.14,0.27,22,22,22.0,22.0,0.81,0.81,2.99,4.23,0.94,23.04,0.9,1.0,7.0,1.87,0.35,1.0,0.25,0.05,0.3
B00JC5Y6YA,4.0,word perfect has always been a great platform to produce the forms that i prefer to use  to date i have not used the worksheet program as i am comfortable with an open systems product to produce the worksheets that i needall in all i think the wordperfect  program is well worth the price i paid,wordperfect office  home and student old version,69.98,0.7321428571428571,56.0,8.0,40.02,56,1,10,7,1,6,1,0,9,56.0,56.0,8.0,7.0,10.0,7.0,0.8571,6.0,1.0,1.0,0.0,0.0,9.0,1.2857,25,4,21,4,37,5,30,5,0.81,0.17,0.16,0.0,0.0,0.0,25,25,25.0,25.0,0.68,0.68,2.91,4.11,0.89,14.44,0.7,0.75,4.5,1.5,0.2,0.65,0.13,0.03,0.17
B01EB06QUM,5.0,i own a disc copy of word  because i prefer the ribbonless interface over the current version of word however i have come to learn that theres a lot to be said for having a word processing program that is capable of performing backup saves to the cloud new word can do this but the ribbon is still annoying and even worse is the extremely intrusive office uploader app i found out that wordperfect has an option to save backups to a designation of your choice including the cloud so i decided to try the free trial im not exactly a new user to wordperfect i used to use it frequently at work back in the days when i was temping at law offices i liked it equally with word before word starting getting more and more intrusive on the end users system i was never one of the users who enjoyed the reveal codes function enough to sway me over word until recently i have given this software the trial run and i love it its got everything i liked about word  and then some the reveal codes are really just a bonus for me i love the easy ability to save as pdf the relative ease of changing fonts and justification compared to word the easy access to online help and of course the ability to save to the cloud without having to tolerate office uploader that was the biggie ive even tested it in onedrive and the files are there  with no preview but i downloaded from onedrive and they are there with no formatting errors if onedrive ever stops saving the files correctly ill switch to dropbox because theres just no way im tolerating the office uploader now that i know i dont have to i am well pleased with wordperfect and unless word changes significantly in the future i am now converted,corel wordperfect office  home amp student edition for pc old version,47.25,0.5457413249211357,,,-233.37,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123,38,115,38,203,50,173,50,0.85,0.29,0.31,0.26,3.38,1.3,123,40,39.2,38.9,0.61,0.79,6.1,8.63,0.91,24.47,0.66,0.8,32.0,4.0,0.23,0.62,0.1,0.08,0.18
B001U3PYLQ,4.0,i have used norton antivirus for several years and so far it has kept me safe  but a couple of months ago i got a virus  i asked the local big box store what it would cost to remove the virus and was told it would cost   considering my computer was  years old i decided to buy a new one  in the meantime i had just installed norton  on my old computer  months prior  with the new computer i received a  free trial of norton antivirus already installed so of course i took advantage of it  i am now at the point where my free norton antivirus is expiring  i will call norton and see if they will let me reinstall my norton  on my new computer  if they will i will stay with them  if not i will probably try one of the free online downloads  i hear some of them are excellent  now i understand no antivirus is going to protect me from everything but why pay for it and it is not cheapbut cheaper if you buy it on amazon and i did if i can get the same result without paying,norton    old version,44.99,0.5333333333333333,48.75,7.222222222222222,-109.54,195,1,33,27,4,19,3,3,24,195.0,48.75,7.2222,27.0,8.25,6.75,0.7037,4.75,4.0,0.75,0.75,0.1111,6.0,0.8889,67,12,60,12,116,22,98,22,0.84,0.22,0.18,0.09,0.26,0.36,67,34,34.7,34.1,0.58,0.66,4.4,6.22,0.88,17.88,0.61,0.77,20.83,3.23,0.28,0.49,0.12,0.03,0.15
B00EPACO3M,1.0,this program continuously crashes  attempting to do any type of project and it shuts down over and over  click inside a text box or on a pic and it shuts down again  waste of money absolutely ridiculous  no customer support just by email and youre lucky if they respond with a week and then the responses are short and just make you need to ask another question  wast of money and time,print artist platinum ,27.99,0.7638888888888888,72.0,12.0,15.32,72,1,10,6,1,2,1,5,7,72.0,72.0,12.0,6.0,10.0,6.0,0.3333,2.0,1.0,1.0,5.0,0.8333,7.0,1.1667,37,9,35,9,42,9,40,9,0.95,0.23,0.24,0.2,0.4,0.45,37,37,37.0,37.0,0.88,0.88,4.04,5.71,0.97,47.87,0.88,0.9,8.1,2.01,0.23,0.94,0.07,0.15,0.23
B00UB76290,4.0,i have not had any problems with the kindle for pc app  the app works like it is supposed to and it is very easy to keep my library in order  it is easy to change the font and size of the type to make reading anything enjoyable,kindle for pc download,0.0,0.7291666666666666,48.0,9.6,56.6,48,1,9,5,1,2,1,1,4,48.0,48.0,9.6,5.0,9.0,5.0,0.4,2.0,1.0,1.0,1.0,0.2,4.0,0.8,23,5,20,5,28,6,22,6,0.79,0.27,0.22,0.17,0.17,0.29,23,23,23.0,23.0,0.82,0.82,3.07,4.35,0.94,24.51,0.91,1.0,6.0,1.73,0.27,1.0,0.09,0.05,0.14
B01FFVDY9M,5.0,corals latest photo editing software isnt photoshop but for the casual user like me it is ideal to to photo editing and correction especially in batches for instance i went to a wolf preserve and all the photos were under exposed with incorrect while balance corel let me change to brightness and white balance on  photos in just a minuteeasier to use than lightroom as well and works on my  year old pc,corel aftershot pro  photo editing software for pcmac key card,44.0,0.7671232876712328,73.0,12.166666666666666,5.84,73,1,9,6,1,3,1,3,8,73.0,73.0,12.1667,6.0,9.0,6.0,0.5,3.0,1.0,1.0,3.0,0.5,8.0,1.3333,36,18,35,18,42,22,40,22,0.95,0.55,0.5,0.4,1.6,0.89,36,36,36.0,36.0,0.86,0.86,3.93,5.55,0.96,39.36,0.88,0.9,8.1,2.01,0.23,0.86,0.12,0.07,0.2
B00H9A60O4,2.0,update a day later and im still trying to undo the damage avg loaded with no issue but there are still others to tryive used avast antivirus in the past without any difficulty however i recently downloaded the free version for the purpose of comparing to other programs prior to purchasingduring the download it not only crashed my   system but when i removed it from the pc it took extras with it necessitating the need to use a recovery disc to get back up and running i dont want to malign avast as it may have just been a conflict with one of my programs but thought id give a heads up anyway,avast free antivirus  download,0.01,0.7168141592920354,113.0,14.125,-26.31,113,1,18,8,1,4,1,3,8,113.0,113.0,14.125,8.0,18.0,8.0,0.5,4.0,1.0,1.0,3.0,0.375,8.0,1.0,58,20,48,17,67,22,53,18,0.79,0.34,0.34,0.43,3.86,1.39,58,46,44.7,44.4,0.87,0.92,5.01,7.09,0.97,53.23,0.91,0.95,19.05,3.09,0.38,0.95,0.06,0.11,0.17
